customer_id,annual_income,credit_score,loan_amount,loan_term,debt_to_income,employment_years,num_delinquencies,credit_utilization,num_accounts,home_ownership,loan_purpose,default,loan_to_income,credit_score_bucket,high_utilization_flag,has_delinquency,low_employment_years,dti_util_interaction,loan_income_ratio,risky_profile_flag,existing_customer,relationship_tenure_months,num_existing_products,offered_interest_rate,estimated_monthly_payment,payment_to_income_ratio,review_flag,response_probability,accepted_offer
1,89901.42459033697,632.5053688658945,23482.862476668182,60,0.2162502653960225,4,2,0.7280826105125764,2,MORTGAGE,other,0,0.2612067893630578,medium,1,1,0,0.1574480577535735,0.2612067893630578,0,0,0,0,0.2536,694.21,0.0927,1,0.0623,1
2,70852.07096486446,658.6150375862443,22833.235925356665,60,0.4310147175784631,0,1,0.8900539591780403,1,RENT,credit_card,0,0.3222663164829353,medium,1,1,1,0.383626355844716,0.3222663164829353,0,0,0,0,0.2771,706.97,0.1197,1,0.1273,0
3,94430.65614302078,638.1833257268399,10634.801541945088,60,0.2007926780984266,13,0,0.4910798670123668,3,MORTGAGE,other,1,0.1126202228831856,medium,0,0,0,0.0986052416576323,0.1126202228831856,0,1,42,2,0.1499,252.95,0.0321,1,0.1335,0
4,120690.89569224077,687.7292632862284,25795.842217637382,60,0.1988278428811356,16,0,0.4011325039161996,13,RENT,debt_consolidation,0,0.2137347814801416,high,0,0,0,0.0797563104631666,0.2137347814801416,0,1,63,3,0.1859,663.38,0.066,0,0.2614,0
5,67975.39875829993,763.8024972023339,5099.17324423382,36,0.1302429315586701,1,2,0.7745323196691919,2,RENT,debt_consolidation,1,0.0750149809681872,high,1,1,1,0.1008773599006525,0.0750149809681872,0,0,0,0,0.2386,199.69,0.0353,1,0.2758,0
6,67975.89129152459,626.0270490001157,13458.156742396714,60,0.4051016116375485,2,0,0.5439235839755584,1,MORTGAGE,home_improvement,1,0.1979842630452824,medium,0,0,0,0.2203443204761701,0.1979842630452824,1,0,0,0,0.221,372.47,0.0658,1,0.1496,0
7,122376.38446522177,750.057434843789,1000.0,60,0.0323341808982514,5,0,0.1941208878969479,4,MORTGAGE,credit_card,0,0.0081715112303879,high,0,0,0,0.006276739905389,0.0081715112303879,0,1,51,4,0.2003,26.51,0.0026,0,0.7147,1
8,98023.04187458726,625.2829549357178,35586.26516962815,36,0.2239633069993668,17,0,0.788888055947038,1,RENT,debt_consolidation,0,0.3630397964469917,medium,1,0,0,0.1766819778622001,0.3630397964469917,0,1,7,3,0.1988,1320.28,0.1616,1,0.1824,1
9,60915.76842195144,620.6660951252181,17684.505060547046,60,0.1845066865795597,11,0,0.7202532195498035,5,MORTGAGE,other,1,0.2903107933853789,medium,1,0,0,0.1328915350373944,0.2903107933853789,0,1,11,2,0.1793,448.38,0.0883,1,0.0387,0
10,91276.80130757892,737.3016232840249,41668.84034816312,60,0.1000705880005812,5,0,0.825284029338863,9,OWN,home_improvement,1,0.4565107426069142,high,1,0,0,0.0825866580834289,0.4565107426069142,0,0,0,0,0.2528,1230.01,0.1617,1,0.0555,0
11,61097.46921562613,744.5355464605332,28029.49926519495,36,0.2133945872967202,1,0,0.3705276607345258,10,RENT,credit_card,0,0.4587669444345402,high,0,0,1,0.0790685972444632,0.4587669444345402,0,1,52,3,0.2116,1058.37,0.2079,0,0.217,0
12,61028.10739289229,739.5986955733858,24480.98213351025,60,0.3775094579691025,17,0,0.2553553066399462,13,MORTGAGE,credit_card,0,0.4011427386319424,high,0,0,0,0.09639904339918,0.4011427386319424,0,1,12,3,0.1898,634.76,0.1248,0,0.178,1
13,82258.86814698103,587.8941814247302,14137.723057190007,36,0.1073731717205713,12,0,0.423846669857429,4,OWN,home_improvement,0,0.1718686796389746,medium,0,0,0,0.045509761265794,0.1718686796389746,0,1,1,3,0.2036,527.98,0.077,1,0.1082,1
14,20000.0,647.3834315349565,9536.4996431258,60,0.1925118523633601,15,0,0.1694697910481022,10,OWN,credit_card,0,0.4768249821324488,medium,0,0,0,0.0326249433943017,0.4768249821324488,0,1,24,3,0.2017,253.57,0.1521,0,0.6135,0
