customer_id,annual_income,credit_score,loan_amount,loan_term,age,employment_length_years,debt_to_income,credit_utilization,delinquency_count,inquiry_count,existing_customer,relationship_tenure_months,num_existing_products,default,income_per_month,loan_to_income_ratio,estimated_monthly_payment,payment_to_income_ratio,risk_score_band,review_flag
1,84141.51239263294,692.3393925009731,3417.9935140092166,60,32,1,0.3563643923172774,0.9410977301524764,1,2,1,20,3,1,7011.792699386078,0.04062196431672245,81.31375329177989,0.01159671381718154,good,1
2,43800.476812785135,742.9386438799379,28912.069925461823,36,32,20,0.4740747754809854,0.8091874440379092,0,1,0,0,0,0,3650.039734398761,0.6600857348740654,1002.2446244958609,0.27458457911455236,excellent,1
3,97513.53587419372,576.941056891642,19419.679935848035,36,39,18,0.0780709535338551,0.4201647455256611,4,1,0,0,0,1,8126.127989516143,0.19914855677783058,673.1883907071356,0.08284245479431306,poor,1
4,103216.94149173642,660.0291286328716,14000.908815375962,36,47,3,0.2338213956874106,0.8337089407849169,1,1,0,0,0,0,8601.411790978034,0.13564545328405447,485.34524281533686,0.056426230315817005,fair,1
5,20000.0,738.0407306765384,17491.824882396093,36,21,17,0.1333481580803381,0.4298539215812929,1,2,0,0,0,1,1666.6666666666667,0.874591244076075,606.3587804747742,0.3638152680665753,good,1
6,35934.61479413046,684.5920103839816,30367.70787041004,60,32,7,0.074117482726497,0.3122971087318674,1,3,0,0,0,0,2994.551232844205,0.8450823264293125,722.4449946117439,0.24125317558328008,good,1
7,78835.21209501856,782.7133668454236,27312.40517325073,36,35,7,0.2108585443805055,0.6713313115347826,0,2,0,0,0,0,6569.601007918213,0.3464493142986051,946.7918186942553,0.14411709591023691,excellent,0
8,65512.72222969253,569.6853649269158,18720.765419944997,36,25,12,0.208853571382466,0.3648955806108813,0,2,1,55,4,1,5459.393519141045,0.2857577090755415,648.9603323788366,0.11887040748842566,poor,1
9,74495.96527487134,561.6998762437706,8608.925359307203,36,30,19,0.3628795458658445,0.3631054435271839,0,2,1,13,3,0,6207.997106239279,0.11556230364190699,298.4306964633186,0.04807197737178585,poor,1
10,49408.6821727926,733.8780561635903,9314.554030883604,36,44,7,0.4983754023232809,0.501297069092139,0,0,1,68,3,0,4117.39018106605,0.18852059235500596,322.89150279094815,0.07842140008915201,good,1
11,101381.93924588486,740.6065050452943,27530.301599246617,60,36,12,0.4524616401409746,0.4189070662424114,0,4,1,55,3,0,8448.494937157071,0.2715503550608255,654.9433587612701,0.07752189751611989,excellent,1
12,98333.75806286844,666.4724995217716,7222.575743456062,36,37,3,0.4924638410863604,0.5915011610367806,1,2,0,0,0,0,8194.47983857237,0.07344960556439785,250.37251682620249,0.03055380228249707,fair,1
13,76980.92092683648,708.0276080032007,18818.45511755692,60,25,1,0.4319776664487291,0.9317844701377336,0,1,0,0,0,1,6415.07674390304,0.244456092376418,447.6893272294635,0.06978705712058166,good,1
14,108817.236209041,732.1644884341985,46810.72127379904,36,39,12,0.3038944684926736,0.7108550776488093,0,0,1,33,1,1,9068.103017420084,0.4301774507803538,1622.7061530493208,0.1789465944258804,good,0
15,89025.28026756136,623.0295755903777,24595.60838370096,60,24,4,0.2501651463078009,0.2878113142004599,1,0,0,0,0,0,7418.773355630114,0.27627667455248356,585.1272753960235,0.07887116201940564,fair,1
16,49221.22611350285,630.5206137465491,27422.492039950044,36,60,0,0.4391171917568024,0.7713134734566947,0,3,1,50,1,1,4101.768842791905,0.5571273656645076,950.6080093254151,0.23175562678627687,fair,0
17,86062.52352247496,693.2808325439046,9389.647281336716,36,63,0,0.1767049720319683,0.389581059225857,0,1,0,0,0,0,7171.876960206247,0.10910262559028422,325.49463037041875,0.04538485979766075,good,0
18,46233.52197513003,743.2862271925604,7726.983438275556,36,36,7,0.1355382632405788,0.6188909766753465,0,2,0,0,0,0,3852.793497927503,0.16712945732892534,267.85794426154416,0.06952304719578338,excellent,0
19,101353.50903921816,598.3830151549411,27958.22037038051,36,29,5,0.0252013153449146,0.6724790370700451,0,0,1,68,1,0,8446.12575326818,0.2758485683932896,969.1791749579118,0.11474837140189928,fair,1
20,73502.22267041242,666.1436657645487,17176.48011105142,60,52,20,0.2894394288864826,0.4291963523668493,1,0,0,0,0,1,6125.185222534368,0.23368654017223284,408.6268919021222,0.06671257716943543,fair,1
21,69454.12909364219,662.9034357806893,31736.21481563674,60,49,10,0.4445304892682696,0.8647163565913086,0,0,0,0,0,1,5787.844091136849,0.4569377692777798,755.0016497563947,0.1304460931803799,fair,1
22,54572.11366788176,709.2571373529935,21431.332376245187,36,64,10,0.3389548186213633,0.7900869896070503,1,2,1,99,1,0,4547.676138990147,0.3927158201399447,742.9228597347736,0.16336318525452062,good,1
