customer_id,annual_income,credit_score,loan_amount,loan_term,age,employment_length_years,debt_to_income,credit_utilization,delinquency_count,inquiry_count,existing_customer,relationship_tenure_months,num_existing_products,default
1,84141.51239263294,692.3393925009731,3417.9935140092166,60,32,1,0.35636439231727746,0.9410977301524763,1,2,1,20,3,1
2,43800.476812785135,742.9386438799379,28912.069925461823,36,32,20,0.4740747754809854,0.8091874440379092,0,1,0,0,0,0
3,97513.53587419371,576.941056891642,19419.679935848035,36,39,18,0.07807095353385513,0.4201647455256611,4,1,0,0,0,1
4,103216.94149173642,660.0291286328716,14000.908815375962,36,47,3,0.2338213956874106,0.8337089407849169,1,1,0,0,0,0
5,20000.0,738.0407306765384,17491.824882396093,36,21,17,0.13334815808033817,0.42985392158129293,1,2,0,0,0,1
6,35934.61479413046,684.5920103839816,30367.70787041004,60,32,7,0.07411748272649701,0.31229710873186745,1,3,0,0,0,0
7,78835.21209501856,782.7133668454236,27312.405173250732,36,35,7,0.21085854438050552,0.6713313115347826,0,2,0,0,0,0
8,65512.72222969253,569.6853649269158,18720.765419944993,36,25,12,0.20885357138246607,0.36489558061088134,0,2,1,55,4,1
9,74495.96527487134,561.6998762437706,8608.925359307203,36,30,19,0.36287954586584453,0.36310544352718394,0,2,1,13,3,0
10,49408.6821727926,733.8780561635903,9314.554030883603,36,44,7,0.4983754023232809,0.501297069092139,0,0,1,68,3,0
11,101381.93924588486,740.6065050452943,27530.301599246617,60,36,12,0.4524616401409746,0.4189070662424114,0,4,1,55,3,0
12,98333.75806286845,666.4724995217716,7222.575743456062,36,37,3,0.49246384108636043,0.5915011610367806,1,2,0,0,0,0
13,76980.92092683648,708.0276080032007,18818.455117556918,60,25,1,0.4319776664487291,0.9317844701377337,0,1,0,0,0,1
14,108817.23620904099,732.1644884341985,46810.721273799034,36,39,12,0.3038944684926736,0.7108550776488093,0,0,1,33,1,1
15,89025.28026756136,623.0295755903777,24595.608383700957,60,24,4,0.25016514630780096,0.28781131420045997,1,0,0,0,0,0
16,49221.22611350285,630.5206137465491,27422.492039950044,36,60,0,0.43911719175680247,0.7713134734566947,0,3,1,50,1,1
17,86062.52352247496,693.2808325439046,9389.647281336715,36,63,0,0.1767049720319683,0.389581059225857,0,1,0,0,0,0
18,46233.52197513003,743.2862271925604,7726.983438275556,36,36,7,0.13553826324057885,0.6188909766753465,0,2,0,0,0,0
19,101353.50903921817,598.3830151549411,27958.22037038051,36,29,5,0.02520131534491468,0.6724790370700451,0,0,1,68,1,0
